Title,Actor,Year,Plot,Poster,Movie_Rank,Box_Office,Hero_Name,Hero_Full_Name,Hero_Genger,Hero_Place_Of_Birth,Hero_work,Hero_Images
The Crow,Brandon Lee,1994,A man brutally murdered comes back to life as an undead avenger of his and his fiancée's murder.,https://m.media-amazon.com/images/M/MV5BM2Y4ZGVhZjItNjU0OC00MDk1LWI4ZTktYTgwMWJkNDE5OTcxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,50,83.3,Crow,Eric Draven,Male,Earth,a rock musician,https://assets.getmyleather.com/wp-content/uploads/2015/06/Eric-Draven-The-Crow-Trench-Coat-9.jpg
Batman Forever,Val Kilmer,1995,"Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.",https://m.media-amazon.com/images/M/MV5BNDdjYmFiYWEtYzBhZS00YTZkLWFlODgtY2I5MDE0NzZmMDljXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,49,295.0,Batman,Bruce Wayne,Male,"Crest Hill, Bristol Township; Gotham County",Businessman,https://cdn.rawgit.com/akabab/superhero-api/0.2.0/api/images/lg/70-batman.jpg
Batman Returns,Michael Keaton,1992,Batman returns to the big screen when a deformed man calling himself the Penguin wreaks havoc across Gotham with the help of a cruel businessman.,https://m.media-amazon.com/images/M/MV5BOGZmYzVkMmItM2NiOS00MDI3LWI4ZWQtMTg0YWZkODRkMmViXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_SX300.jpg,32,283.0,Batman,Bruce Wayne,Male,"Crest Hill, Bristol Township; Gotham County",Businessman,https://cdn.rawgit.com/akabab/superhero-api/0.2.0/api/images/lg/70-batman.jpg
Batman Begins,Christian Bale,2005,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",https://m.media-amazon.com/images/M/MV5BZmUwNGU2ZmItMmRiNC00MjhlLTg5YWUtODMyNzkxODYzMmZlXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,31,256.0,Batman,Bruce Wayne,Male,"Crest Hill, Bristol Township; Gotham County",Businessman,https://cdn.rawgit.com/akabab/superhero-api/0.2.0/api/images/lg/70-batman.jpg
Batman,Michael Keaton,1989,The Dark Knight of Gotham City begins his war on crime with his first major enemy being the clownishly homicidal Joker.,https://m.media-amazon.com/images/M/MV5BMTYwNjAyODIyMF5BMl5BanBnXkFtZTYwNDMwMDk2._V1_SX300.jpg,18,493.0,Batman,Bruce Wayne,Male,"Crest Hill, Bristol Township; Gotham County",Businessman,https://cdn.rawgit.com/akabab/superhero-api/0.2.0/api/images/lg/70-batman.jpg
The Dark Knight Rises,Christian Bale,2012,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_SX300.jpg,12,482.0,Batman,Bruce Wayne,Male,"Crest Hill, Bristol Township; Gotham County",Businessman,https://cdn.rawgit.com/akabab/superhero-api/0.2.0/api/images/lg/70-batman.jpg
The Dark Knight,Christian Bale,2008,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_SX300.jpg,1,612.0,Batman,Bruce Wayne,Male,"Crest Hill, Bristol Township; Gotham County",Businessman,https://cdn.rawgit.com/akabab/superhero-api/0.2.0/api/images/lg/70-batman.jpg
Hellboy II: The Golden Army,Ron Perlman,2008,"The mythical world starts a rebellion against humanity in order to rule the Earth, so Hellboy and his team must save the world from the rebellious creatures.",https://m.media-amazon.com/images/M/MV5BMjA5NzgyMjc2Nl5BMl5BanBnXkFtZTcwOTU3MDI3MQ@@._V1_SX300.jpg,48,87.0,Hellboy,Anung Un Rama,Male,-,-,https://cdn.rawgit.com/akabab/superhero-api/0.2.0/api/images/lg/322-hellboy.jpg
Thor: The Dark World,Chris Hemsworth,2013,"When the Dark Elves attempt to plunge the universe into darkness, Thor must embark on a perilous and personal journey that will reunite him with doctor Jane Foster.",https://m.media-amazon.com/images/M/MV5BMTQyNzAwOTUxOF5BMl5BanBnXkFtZTcwMTE0OTc5OQ@@._V1_SX300.jpg,47,219.0,Thor,Thor Odinson,Male,Asgard,King of Asgard; formerly EMS Technician; Physician,https://cdn.rawgit.com/akabab/superhero-api/0.2.0/api/images/lg/659-thor.jpg
Thor,Chris Hemsworth,2011,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",https://m.media-amazon.com/images/M/MV5BOGE4NzU1YTAtNzA3Mi00ZTA2LTg2YmYtMDJmMThiMjlkYjg2XkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_SX300.jpg,45,199.0,Thor,Thor Odinson,Male,Asgard,King of Asgard; formerly EMS Technician; Physician,https://cdn.rawgit.com/akabab/superhero-api/0.2.0/api/images/lg/659-thor.jpg
